nodes;total_cores;mpi_num_procs;omp_num_threads;split;read_pfb[sec];SubsurfaceStorage[sec];SubsurfaceStorage_vectorized[sec];TopLayerPressure[sec];TopLayerPressure_vectorized[sec];SurfaceStorage[sec];VolumetricMoisture[sec];OverlandFlow[sec];NetLateralOverlandFlow[sec];NetLateralOverlandFlow_vectorized[sec];SubsurfaceFlow[sec];SubsurfaceFlow_vectorized[sec]
4;192;8;24;-1;15.592376470565796;1.2571487426757812;0.9160418510437012;1.390460729598999;0.3156704902648926;0.17794394493103027;0.15056109428405762;0.9479148387908936;4.76837158203125e-07;2.384185791015625e-07;4.579654216766357;4.76837158203125e-07
4;192;16;12;-1;38.88443374633789;1.2352988719940186;0.9238736629486084;1.3458051681518555;0.2908344268798828;0.17743730545043945;0.14731788635253906;0.9477553367614746;4.76837158203125e-07;2.384185791015625e-07;4.432046175003052;7.152557373046875e-07
4;192;48;4;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;192;96;2;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;192;8;24;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;192;16;12;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;192;48;4;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;192;96;2;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;16;24;-1;42.99433755874634;0.6667430400848389;0.4640166759490967;0.6880860328674316;0.17561984062194824;0.09147095680236816;0.07789874076843262;0.5025002956390381;4.76837158203125e-07;2.384185791015625e-07;2.315871477127075;4.76837158203125e-07
8;384;32;12;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;96;4;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;192;2;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;16;24;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;32;12;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;96;4;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;192;2;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
16;768;32;24;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
16;768;64;12;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
16;768;192;4;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
16;768;384;2;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
16;768;32;24;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
16;768;64;12;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
16;768;192;4;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
16;768;384;2;-2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
