nodes;total_cores;mpi_num_procs;omp_num_threads;split;read_pfb[sec];SubsurfaceStorage[sec];SubsurfaceStorage_vectorized[sec];TopLayerPressure[sec];TopLayerPressure_vectorized[sec];SurfaceStorage[sec];VolumetricMoisture[sec];OverlandFlow[sec];NetLateralOverlandFlow[sec];NetLateralOverlandFlow_vectorized[sec];SubsurfaceFlow[sec];SubsurfaceFlow_vectorized[sec]
1;48;1;48;-1;12.284691572189331;1.2524182796478271;0.9390790462493896;1.3406412601470947;0.3144195079803467;0.1767256259918213;0.14741277694702148;0.9290902614593506;2.384185791015625e-07;0.7195303440093994;3.991436004638672;2.384185791015625e-07
1;48;2;24;-1;21.66298270225525;0.6440751552581787;0.46211934089660645;0.6850676536560059;0.15735316276550293;0.08939099311828613;0.07396936416625977;0.5102112293243408;2.384185791015625e-07;0.4452247619628906;2.2310407161712646;2.384185791015625e-07
1;48;12;4;-1;18.211125373840332;0.6297814846038818;0.4623398780822754;0.6770625114440918;0.13944530487060547;0.08874392509460449;0.0743861198425293;0.5103611946105957;2.384185791015625e-07;0.452686071395874;2.2456674575805664;2.384185791015625e-07
1;48;24;2;-1;24.886051893234253;0.6465153694152832;0.4508178234100342;0.6792745590209961;0.14090728759765625;0.08963418006896973;0.07467317581176758;0.5145926475524902;2.384185791015625e-07;0.5151031017303467;2.3010897636413574;2.384185791015625e-07
2;96;2;48;-1;12.979978561401367;0.639014482498169;0.4769284725189209;0.6857163906097412;0.16057586669921875;0.08939576148986816;0.07372450828552246;0.4742610454559326;2.384185791015625e-07;0.48328256607055664;2.023763418197632;4.76837158203125e-07
2;96;4;24;-1;17.28315258026123;0.3343994617462158;0.23576807975769043;0.35221195220947266;0.08140063285827637;0.04529833793640137;0.03744387626647949;0.26367950439453125;2.384185791015625e-07;0.2841300964355469;1.1390244960784912;2.384185791015625e-07
2;96;24;4;-1;37.27812623977661;0.3328385353088379;0.22881746292114258;0.34810400009155273;0.0805521011352539;0.045070648193359375;0.03738903999328613;0.26829981803894043;9.5367431640625e-07;0.2745177745819092;1.1618835926055908;4.76837158203125e-07
2;96;48;2;-1;26.171623706817627;0.348935604095459;0.22325634956359863;0.3522815704345703;0.08084440231323242;0.04520225524902344;0.03802204132080078;0.2650318145751953;2.384185791015625e-07;0.34036922454833984;1.1835410594940186;2.384185791015625e-07
4;192;4;48;-1;17.12128782272339;0.3387596607208252;0.24408745765686035;0.35297274589538574;0.08458709716796875;0.04526472091674805;0.03723883628845215;0.2427051067352295;2.384185791015625e-07;0.251847505569458;1.0779931545257568;2.384185791015625e-07
4;192;8;24;-1;26.111327648162842;0.17604327201843262;0.12304902076721191;0.1871488094329834;0.043192386627197266;0.02326345443725586;0.01894688606262207;0.13916635513305664;2.384185791015625e-07;0.1533188819885254;0.6176788806915283;4.76837158203125e-07
4;192;48;4;-1;31.43421506881714;0.17846345901489258;0.113922119140625;0.18335556983947754;0.04197096824645996;0.022906064987182617;0.019183874130249023;0.13583898544311523;2.384185791015625e-07;0.23876380920410156;0.5957655906677246;2.384185791015625e-07
4;192;96;2;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;8;48;-1;25.42540979385376;0.18833494186401367;0.13985300064086914;0.18564319610595703;0.10941624641418457;0.022802114486694336;0.018388986587524414;0.19128108024597168;4.76837158203125e-07;0.43726563453674316;0.8675234317779541;4.76837158203125e-07
8;384;16;24;-1;23.36500382423401;0.09486055374145508;0.06722593307495117;0.10249757766723633;0.025021076202392578;0.0117034912109375;0.009670495986938477;0.07290458679199219;2.384185791015625e-07;0.10837674140930176;0.32883191108703613;2.384185791015625e-07
8;384;96;4;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
8;384;192;2;-1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
