nodes;total_cores;mpi_num_procs;omp_num_threads;split;read_pfb[sec];SubsurfaceStorage[sec];SubsurfaceStorage_vectorized[sec];TopLayerPressure[sec];TopLayerPressure_vectorized[sec];SurfaceStorage[sec];VolumetricMoisture[sec];OverlandFlow[sec];NetLateralOverlandFlow[sec];NetLateralOverlandFlow_vectorized[sec];SubsurfaceFlow[sec];SubsurfaceFlow_vectorized[sec]
4;192;4;48;-1;68.08694815635681;4.962626934051514;3.233503580093384;3.677234172821045;0.9013411998748779;0.6157557964324951;0.6740953922271729;3.12589430809021;287.65079736709595;10.536197662353516;16.13768172264099;50.609092235565186
4;192;8;24;-1;68.1328673362732;2.4110593795776367;1.5656635761260986;1.8309578895568848;0.46628403663635254;0.29649901390075684;0.32253146171569824;1.6704339981079102;340.2881050109863;6.8198347091674805;8.180904626846313;13.34900975227356
4;192;4;48;-2;67.80569648742676;5.388449430465698;3.223133087158203;3.692835807800293;0.8958985805511475;0.6164464950561523;0.6738741397857666;3.128896474838257;284.1956400871277;10.172725677490234;16.499876976013184;51.83675527572632
4;192;8;24;-2;67.54234838485718;2.708853244781494;1.5669803619384766;1.814344882965088;0.43860578536987305;0.2957768440246582;0.3205740451812744;1.6887030601501465;337.53517484664917;6.302103042602539;8.287394523620605;12.018494367599487
8;384;8;48;-1;91.034912109375;2.4712600708007812;1.8085637092590332;1.8495290279388428;0.4597890377044678;0.30490946769714355;0.42598676681518555;1.8767430782318115;344.42223930358887;6.1835174560546875;16.391708612442017;33.32456827163696
8;384;16;24;-1;77.85467433929443;1.231633186340332;0.7890338897705078;0.928164005279541;0.24954962730407715;0.1498100757598877;0.15978789329528809;0.8119039535522461;460.790296792984;3.771218776702881;4.025524377822876;7.716876029968262
8;384;8;48;-2;89.01423168182373;2.8646202087402344;1.5935876369476318;1.8401391506195068;0.4533274173736572;0.30414295196533203;0.3308432102203369;1.5980556011199951;344.0945210456848;5.481518507003784;14.02234435081482;31.90846347808838
8;384;16;24;-2;57.66533899307251;1.5287292003631592;0.784160852432251;0.929008960723877;0.23587775230407715;0.15015006065368652;0.16052699089050293;0.8335270881652832;527.0488677024841;3.247582197189331;4.137637138366699;8.290570974349976
16;768;16;48;-1;135.43069410324097;1.2892000675201416;0.823026180267334;1.0121824741363525;0.23144912719726562;0.1602153778076172;0.16716742515563965;0.836245059967041;467.5858998298645;3.5733468532562256;4.001245021820068;7.8766114711761475
16;768;32;24;-1;130.8854193687439;0.6660885810852051;0.4086611270904541;0.5133321285247803;0.11333942413330078;0.07783746719360352;0.0812985897064209;0.5268797874450684;817.2623748779297;2.4189951419830322;2.1196138858795166;5.037448406219482
16;768;16;48;-2;98.03213858604431;1.462207555770874;0.8120691776275635;1.0217618942260742;0.23527002334594727;0.16107416152954102;0.1680901050567627;0.8110184669494629;466.22965359687805;3.0326075553894043;3.9775404930114746;8.847275972366333
16;768;32;24;-2;118.09715485572815;0.8169732093811035;0.407764196395874;0.520716667175293;0.11635923385620117;0.08008241653442383;0.08143424987792969;0.44568371772766113;816.8094213008881;2.0015013217926025;2.1138668060302734;4.695876359939575
